躄	[tích] ① Khoèo cả hai chân gọi là tích 躄, khoèo một chân gọi là bả 跛 (có chỗ đọc là bí).
廡	[vũ] ① Các phòng nhỏ ở xung quanh nhà chính, dãy nhà hai bên nhà chính; ② (Cây cỏ) rậm rạp, tốt tươi: 蕃廡 Tươi tốt.
廠	[xưởng] Như 厰 (bộ 厂).
廟	[miếu] ① Miếu, đền thờ: 土地廟 Miếu thổ địa; 龍王廟 Miếu long vương; 孔廟 Văn miếu, Khổng miếu; 山頂上有一座很大的廟 Trên đỉnh núi có một cái miếu rất to; ② Phiên chợ đình chùa; ③ Điện trước cung vua. (Ngb) (Thuộc về) nhà vua: 廟算 Toan tính của nhà vua; ④ Chỗ làm việc trong nhà.
廞	[hân] (văn) ① Bày ra; ② Hứng khởi; ③ Ứ đọng.
廛	[triền] ① Chỗ ở của một gia đình thời xưa; ② Quán chợ, hàng quán, cửa hàng.
廚	[trù] ① Bếp: 帮廚 Giúp việc nhà bếp; ② Rương, hòm: 書廚 Hòm sách; 衣廚 Hòm áo.
廚	[trù] Xem 厨.
廗	[đái] (văn) ① Một dãy nhà; ② Chiếc chiếu; ③ [Dài] Tên sông đời cổ.
廖	[liêu] ① Tên người; ② (Họ) Liêu.
廕	[ấm] ① Che chở; ② Được nhờ ơn người trước để lại.
廔	[lâu] (văn) ① Cửa sổ sáng và đẹp; ② Nóc nhà; ③ Như 樓 (bộ 木).
廓	[khuếch] ① Lớn, lớn rộng, mênh mông, bao la: 寥廓的天空 Bầu trời bao la; 度量恢廓 Độ lượng lớn lao; ② Khuôn, vành, phạm vi: 耳廓 Vành tai; ③ (văn) Mở: 廓充 Mở rộng ra; ④ (văn) Rỗng không.
廒	[ngao] (văn) Kho thóc, vựa thóc, lẫm lúa.
廑	[cần, cận] (văn) ① Nhà nhỏ, túp lều, lều tranh; ② Chỉ có (dùng như 僅, bộ 亻); ③ Như 勤 (bộ 力).
廐	[cứu] Xem 廏.
廏	[cứu] Chuồng ngựa.
廎	[khoảnh] (văn) Phòng việc nhỏ (trong quan thự).
廋	[sưu] (văn) ① Che giấu, giấu diếm: 人焉廋哉？ Người sao giấu được thay? (Luận ngữ); ② Tìm, lục soát (dùng như 搜, bộ 扌); ③ Góc núi (chỗ núi uốn cong).
廊	[lang] Hành lang, mái hiên: 走廊 Hành lang; 長廊 Hành lang dài.
廉	[liêm] ① Liêm (khiết), trong sạch: 清廉 Thanh liêm; 廉恥 Liêm sỉ; ② Rẻ: 價廉物美 Giá rẻ hàng tốt; ③ (văn) Góc thềm: 堂廉 Chỗ bệ thềm bước lên; 堂高廉遠 Nhà cao góc bệ xa, (Ngb) nhà vua cao xa lắm; ④ (văn) Góc, cạnh (của đồ vật); ⑤ (văn) Xét, tra xét: 廉訪使 Chức quan tra xét các quan lại; ⑥ (văn) Tiền dưỡng liêm; ⑦ [Lián] (Họ) Liêm.
廈	[hạ] Như 厦 [xià] (bộ 厂).
廈	[hạ] Ngôi nhà lớn: 高樓大廈 Lầu cao nhà rộng. Xem 廈 [xià] (bộ 厂).
廂	[sương] ① Nhà ngang, phòng cạnh, chái nhà, mái (ở hai bên nhà chính): 一正兩廂 Một nhà chính hai nhà ngang; 西廂 Mái tây; ② Chỗ được ngăn ra như căn phòng: 車相 Toa xe; 包廂 Hạng lô (trong rạp hát); ③ Vùng tiếp giáp với thành phố: 關廂 Vùng lân cận ngoài cửa ô; ④ Bên cạnh: 兩廂 Hai bên.
廁	[xí] Nhà xí: 茅廁 Nhà xí. Xem 厠，廁 [cè].
廁	[xí] Như 厠 [cè] (bộ 厂).
庿	[miếu] Như 廟.
庾	[dữu] ① (văn) Vựa thóc lộ thiên, kho lộ thiên (không có mái lợp); ② Cái dữu (đồ đong ngày xưa, bằng 16 đấu); ③ [Yư] (Họ) Dữu.
庼	[khoảnh] Như 廎
庹	[thoả] ① Sải (độ dài của hai cánh tay dang ngang): 買兩庹繩 Mua hai sải dây; ② [Tuô] (Họ) Thoả.
庸	[dung] ① Tầm thường, xoàng xĩnh: 庸人 Người tầm thường; 太平庸了 Tầm thường quá; ② (văn) Cần: 無庸如此 Không cần như thế; 無庸細述 Không cần kể tỉ mỉ; ③ (văn) Công: 酬庸 Trả công; ④ (văn) Một phép thuế đời Đường bắt dân làm việc cho vua; ⑤ (văn) Làm thuê (như 傭, bộ 亻); ⑥ (văn) Tường thành (như 墉, bộ 土); ⑦ (văn) Há, làm sao (biểu thị sự phản vấn, thường dùng kết hợp với một số từ khác, thành 庸敢，庸可，庸得，庸詎（庸遽），庸孰)：吾庸敢驁霸王乎？ Tôi làm sao dám coi thường sự nghiệp của bá vương? (Lã thị Xuân thu); 彗星之出，庸可懼乎？ Sao chổi xuất hiện, há đáng sợ ư? (Án tử Xuân thu); 雖臥洛陽，庸得安枕乎？ Dù có nương thân ở Lạc Dương, há được ngủ yên? (Hậu Hán thư); 噫！庸詎知吾之所謂夢者，爲非夢耶？ Ôi! Sao lại biết kẻ ta cho là mộng lại không phải mộng? (Nguyễn Liên Pha: Mai đình mộng kí tự); 則雖汝親，庸孰能親汝乎？ Thế thì dù là thân tộc của ngươi, nhưng làm sao lại có thể thân gần ngươi được? (Đại đới lễ kí); 庸有濟乎？ Há có ích gì đâu?
康	[khang] ① Yên, khỏe: 安康 Mạnh khỏe, mạnh giỏi, yên lành; 建康 Khỏe mạnh, lành mạnh; ② Nhẹ và không chắc, xốp: 蘿蔔康了 Củ cải xốp rồi; ③ (văn) Ngả năm; ④ [Kang] (Họ) Khang.
庶	[thứ] ① Nhiều, thường: 富庶 Sản vật dồi dào, dân số đông đúc; 庶物 Các vật, mọi vật; ② (văn) Gần như, hầu như, có lẽ: 回也其庶乎？ Ngươi Hồi kia ngõ hầu gần được chăng? (Luận ngữ). 【庶乎】 thứ hồ [shùhu] (văn) Hầu như, gần như, có lẽ, may ra: 庶乎可行 Hầu như có thể được; 【庶或】thứ hoặc [shùhuò] Như 庶乎；【庶幾】 thứ cơ [shùji] Như 庶幾乎；【庶幾乎】 thứ cơ hồ [shùjihu] (văn) (lt) Gần như, hầu như, may ra mới được. Cg. 庶乎 [shùhu], 庶幾 [shùji]; ③ (văn) Mong, chỉ mong, may ra: 庶無罪悔，以迄于今 Chỉ mong không có tội và chuyện đáng tiếc, (từ khi ấy) cho tới hôm nay (Thi Kinh: Đại nhã, Sinh dân); ④ (Thuộc) chi thứ: 庶子 Con vợ lẽ, con dòng thứ.
庵	[am] ① Lều tranh; ② Am, chùa nhỏ.
庳	[tí] (văn) ① Nhà hai bên cao chính giữa thấp, trũng: 墮高堙庳 San đồi lấp vực; ② (Nhà) thấp hẹp; ③ Thấp bé, lùn: 其民豐肉而庳 Dân xứ đó mập mạp mà lùn (Chu lễ); ④ [Bì] Tên nước thời xưa.
庭	[đình] ① Sân: 前庭 Sân trước; ② Nhà: 庭前 Trước cửa nhà; ③ Toà án: 民庭 Toà án dân sự; 開庭 Mở phiên toà; ④ (văn) Triều đình, cung đình (dùng như 廷, bộ 廴); ⑤ (văn) Thẳng tuột.
庬	[mang] (văn) ① Đầy đủ; ② Lẫn lộn tạp nhạp (như 尨, bộ 尢).
庫	[khố] ① Kho: 入庫 Vào kho, nhập kho; 糧食庫 Kho lương thực; ② [Kù] (Họ) Khố.
座	[toà, toạ] ① Chỗ (ngồi), ghế ngồi: 首座 Ghế đầu; 就座 Vào chỗ; 滿座 Hết chỗ; 請入座 Xin vào chỗ; ② Cái đệm, cái nền, cái giá, cái đế...: 塔座 Nền tháp; 座墊 Cái đệm lót; 花瓶座 Cái đế lọ; 鐘座 Cái giá chuông; ③ (loại) Ngôi, toà, quả, ngọn, hòn, chiếc...: 一座樓 Một ngôi (toà) nhà; 一座橋 Một chiếc cầu; 一座山Một quả (ngọn, hòn) núi.
度	[đạc] (văn) Sự đánh giá, sự ước lượng: 揣度 Suy đoán; 測度 Trắc đạc, đo đạc; 以己度人 Suy bụng ta ra bụng người. Xem 度 [dù].
度	[độ] ① Đồ đo, dụng cụ đo, đo lường. 【度量衡】độ lượng hoành [dùliàng héng] Đo lường đong đạc; ② Độ: 硬度 Độ cứng, độ rắn; 濕度 Độ ẩm; ③ (toán) Độ, góc: 直角爲九十度 Góc chính là 90 độ; 北緯三十八度 38 độ vĩ tuyến Bắc; 水的沸點是攝氏一百度 Điểm sôi của nước là 100 độ C; ④ Phép tắc đã đặt ra: 法度 Pháp độ; 制度 Chế độ; ⑤ Dáng dấp: 態度 Thái độ; ⑥ (điện) Kilôoát giờ; ⑦ Hạn độ, mức độ: 勞累過度 Mệt nhọc quá mức; 高度 Cao độ; ⑧ Độ lượng: 大度包容 Độ lượng bao dung; ⑨ Cân nhắc, suy nghĩ, để ý đến: 把生死置之度外 Chả cân nhắc đến việc sống chết; ⑩ Lần, chuyến: 再度聲明 Thanh minh lần nữa; 一年一度 Mỗi năm một lần (chuyến); 二度梅 Hoa mai mỗi năm nở hai lần; ⑪ Qua, trôi qua: 歡度春節 Ăn Tết Nguyên đán; 虛度光陰 Để cho ngày tháng trôi qua, phung phí thời gian; ⑫ (văn) Đi qua, qua tới, sang tới (dùng như 渡, bộ 氵); ⑬ [Dù] (Họ) Độ. Xem 度 [duó].
庥	[hưu] (văn) ① Che chở; ② Như 休 nghĩa ① và ⑥ (bộ 亻).
庠	[tường] Trường học thời xưa: 邑庠 Trường làng.
废	[phế] Như 廢
庞	[bàng] Như 龐
府	[phủ] ① Nơi làm việc của quan lại thời xưa hoặc cơ quan chính quyền nhà nước ngày nay, quan thự: 官府 Quan lại địa phương; 政府 Chính phủ; ② Nơi cất giữ văn thư tài sản của nhà nước: 府庫 Phủ khố; ③ Nơi ở của quan lại quý tộc hay nguyên thủ: 王府 Vương phủ, phủ chúa; 總理府 Phủ Thủ tướng; 主席府 Phủ Chủ tịch; ④ Quan quản lí tài sản và văn thư thời xưa: 泉府 Tuyền phủ (quan trông coi tài sản, văn thư); ⑤ Phủ (khu vực hành chánh thời xưa): 承天府 Phủ Thừa Thiên; ⑥ Nhà (có ý kính trọng): 貴府 Quý phủ, nhà ông; ⑦ (văn) Tạng phủ (dùng như 腑, bộ 肉); ⑧ [Fư] (Họ) Phủ.
庚	[canh] ① Can Canh (ngôi thứ bảy trong thập can); ② Tuổi: 同庚 Đồng canh, cùng tuổi; 庚帖 Tấm thiếp ghi tên tuổi, quê quán của những người đã đính hôn; ③ (văn) Con đường; ④ (văn) Đền trả, bồi thường; ⑤ [Geng] (Họ) Canh.
庙	[miếu] Xem 廟.
店	[điếm] ① (Cửa) hiệu, (cửa) hàng, tiệm: 書店 Hiệu sách; 飯店 Tiệm ăn; 零售店 Cửa hàng bán lẻ; ② Nhà trọ: 客店 Nhà trọ; 住店 Ở (nhà) trọ.
庖	[bào] Bếp, nhà bếp: 名庖 Người đầu bếp nổi tiếng.
底	[để] ① Đáy, đít, trôn, gầm, đế: 水底 Đáy nước; 碗底 Trôn bát; 床底 Gầm giường; 鞋底 Đế giày; ② Dưới, tẩy: 這一下子就露了底兒了 Phen này đã bị lộ tẩy rồi; ③ Gốc, cơ sở.【底本】để bản [dê bân] a. Bản gốc, bản lưu; b. Bản thảo; c. Bản chính;【底稿】để cảo [dêgăo] Bản thảo; ④ Cuối (tháng hoặc năm): 年底 Cuối năm; 月底 Cuối tháng; ⑤ Nền: 白底紅花 Nền trắng hoa đỏ; ⑥ (văn) Đạt tới, đi tới: 終底于成 Cuối cùng đạt tới thành công; 靡所底止 Không đến đâu là ngừng; ⑦ Văn thư mới thảo: 底子 Bản thảo; ⑧ (văn) Ngưng trệ, ngừng không lưu thông; ⑨ (văn) Gì, nào: 底處 Nơi nào, chốn nào; 底事 Việc gì?
应	[ưng, ứng] Như 應
库	[khố] Như 庫
庑	[vũ] Như 廡
庐	[lư] Như 廬
序	[tự] ① Thứ tự, xếp theo thứ tự: 次序 (Theo) thứ tự, trật tự; ② Mở đầu; ③ Lời tựa, lời nói đầu.
幽	[u] ① Âm u, tối tăm, thăm thẳm: 幽林 Rừng âm u; 九幽 Nơi âm phủ; ② Ẩn, khuất, sâu xa, thầm kín: 幽居 Ở ẩn; 幽怨 Nỗi oán ẩn kín; 幽恨 Mối hận ẩn kín; ③ Tĩnh mịch, vắng vẻ và yên lặng; ④ (cũ) Âm gian; ⑤ [You] (Họ) U; ⑥ [You] Châu U (phía đông bắc tỉnh Trực Lệ, Trung Quốc).
幼	[ấu] Thơ ấu, tuổi nhỏ, nhỏ bé, non nớt, trẻ em: 年幼無知 Tuổi thơ dại; 婦幼 Phụ nữ và trẻ em.
幻	[ảo, huyễn] ① Ảo, giả, không thật. 【幻景】ảo cảnh [huànjêng] Ảo cảnh (ảnh): 沙漠上的幻景 Ảo ảnh trên sa mạc; ② (Biến) hoá: 變幻多端 Biến hoá nhiều; 變幻 Biến đổi khôn lường.
幺	[yêu] ① (đph) Út, bé: 幺兒 Con út; ② Nhỏ bé, nhỏ nhoi; ③ (Số) một: Xem 一 [yi] nghĩa ①; ④ Cô độc, cô đơn; ⑤ [Yao] (Họ) Yêu. Xem 麼 [me], 嗎 [ma].
幹	[cán] ① Thân cây, thân cỏ, thân người: 軀幹 Vóc người, thân người; ② Cốt cán, chính, chủ yếu: 運動的骨幹 Nòng cốt của phong trào; ③ Cán bộ: 高幹 Cán bộ cấp cao; 幹群關系 Quan hệ giữa cán bộ và quần chúng; ④ Cái chuôi: 勺幹 Chuôi gáo; ⑤ Làm: 幹重活 Làm những công việc nặng nhọc; 幹壞事 Làm những việc xấu; 堅決不幹 Kiên quyết không làm; 他是幹什麼的？ Anh ấy làm việc gì đấy?; ⑥ Có tài năng, có năng lực, giỏi: 幹員 Người làm việc có năng lực; 能幹 Người làm việc giỏi; 才幹 Tài cán. Xem 干 [gan].
幸	[hạnh] ① Hạnh phúc; ② Vui mừng: 欣幸 Vui sướng; ③ (văn) Mong: 幸勿推却 Mong đừng từ chối; ④ May mắn: 幸未成災 May mà chưa thành tai nạn; ⑤ (cũ) Chỉ sự yêu dấu của người trên đối với người dưới: 得幸 Được yêu dấu.【幸臣】hạnh thần [xìng chén] (cũ) Bề tôi được vua yêu, sủng thần; ⑥ [Xìng] (Họ) Hạnh.
幷	[bính, tính, tịnh] (văn) ① Vứt bỏ (như 摒, bộ 扌): 國爵幷焉 Vứt bỏ những tước vị nhà nước ban cho (Trang tử); ② Đều, cùng (một lúc): 天降禍于周，俾我兄弟幷有亂心 Trời giáng hoạ cho nhà Chu, khiến anh em ta đều rối lòng (Tả truyện: Chiêu công tam thập nhị niên); 德，刑不立，姦軌幷至 Khuôn mẫu đạo đức và điều luật về hình phạt không định ra thì hoạ loạn sẽ cùng lúc xảy tới (Tả truyện: Thành công thập thất niên) (軌=宄， nội loạn). 【幷皆】tịnh giai [bìngjie] (văn) Đều, tất cả đều: 秉之少孤，弟妹七人，幷皆幼稚 Bỉnh Chi mồ côi từ nhỏ, có bảy em cả trai lẫn gái, tất cả đều còn ấu thơ (Tống thư: Giang Bỉnh Chi truyện); 【幷悉】 tịnh tất [bìngxi] (văn) Như 幷皆;【幷總】 tịnh tổng [bìngzông] (văn) Như 幷皆; ③ (văn) Và, cùng với: 于是開革囊，取一人頭幷心肝 Rồi mở cái túi da, lấy ra một cái đầu người cùng với tim gan (Đỗ Quang Đình: Cầu nhiệm khách truyện).
幷	[tinh] ① Châu Tinh (Tinh Châu) (một châu thời xưa của Trung Quốc, gồm các phần của hai tỉnh Hà Bắc và Sơn Tây ngày nay); ② (Tên riêng của) thành phố Thái Nguyên (tỉnh Sơn Tây, Trung Quốc). Xem 併, 並 [bìng].
并	[tịnh] Như 竝
并	[tinh bính, tính, tịnh] Như 幷
并	[bính, tính, tịnh] Như 並
并	[tính, tịnh] Như 併 (bộ 亻), 幷(bộ 干), 並 (bộ 一), 竝 (bộ 立). ① 【并且】tịnh thả [bìng qiâ] (lt) Mà còn; ② 【并不】tịnh bất [bìngbù] Không, chẳng, chả. Xem 並 nghĩa ⑨ (bộ 一).
年	[niên] ① Năm: 去年 Năm ngoái; 全年收入 Thu nhập cả năm; ② Tuổi, lứa tuổi: 年過四十的人 Người đã quá bốn mươi; 她年方十八 Cô ấy mới mười lăm tuổi; 知命之年 Tuổi biết mệnh trời, tuổi năm mươi; ③ Thời, đời: 明朝末年 Cuối đời nhà Minh; 童年 Thời thơ ấu; ④ Tết: 過年 Ăn tết; 拜年 Chúc tết; ⑤ Mùa màng: 豐年 Được mùa; 荒年 Mất mùa; ⑥ [Nián] (Họ) Niên.
平	[bình] ① Phẳng, phẳng phiu, phẳng lì: 地面很平 Mặt đất rất phẳng; 像水一樣平 Phẳng như mặt nước; 床單鋪得很平平 Khăn giường trải phẳng phiu; ② Đều bằng nhau, ngang nhau, hoà nhau, công bằng: 持平之論 Lập luận công bằng; 一碗水端平 Ngang nhau bát nước đầy; 雙方打成十平 Hai bên hoà nhau 10-10, hai đội hoà 10 điều; ③ Yên ổn, dẹp yên, bình: 匪患已平 Giặc đã dẹp yên; 平亂 Dập tắt cuộc phiến loạn; 平吳 Dẹp yên giặc Ngô; 治國平天下 Trị quốc bình thiên hạ; ④ San, san bằng, san phẳng: 平整土地好蓋房屋 San đất để xây nhà; 兩桶水勻平才好挑 Hai thùng nước phải san cho đều mới dễ gánh; ⑤ Nén, nén xuống, đè xuống: 平一平恕氣 Nén giận; 她的氣平下去了 Chị ấy đã hả giận; ⑥ Thường, thông thường, bình thường. 【平白】 bình bạch [píngbái] (văn) Đâu đâu, không đâu, không duyên cớ: 平白地爲伊腸斷 Vì nàng mà lòng đau không duyên không cớ (Tô Thức: Vương đô uý tịch thượng tặng thị nhân); 【平居】 bình cư [píngju] (văn) Trước giờ, lúc bình thường, thường khi: 衛文仲…平居好歌東坡“赤壁詞” Vệ Văn Trọng ... thường khi thích hát bài “Xích Bích phú” của Tô Đông Pha (Tục di quái chí);【平生】bình sinh [píngsheng] (văn) Như 平居 [píngju]: 吾平生知韓信爲人，易與耳 Ta bình sinh (trước nay) biết rõ tính cách con người của Hàn Tín, dễ đối phó với ông ta thôi (Sử kí); ⑦ Bằng, bình: 平上去入 Bình, thượng, khứ, nhập; 平仄律 Luật bằng trắc; ⑧ [Píng] Tỉnh Bắc Bình (nói tắt): 平劇 Kịch Bắc Bình; ⑨ [Píng] (Họ) Bình.
干	[can] ① (cũ) Cái mộc; ② (văn) Can: 天干地支 Thiên can địa chi; ③ Dính dáng, liên can, can, liên quan: 這事與我無干 Việc này không liên can tới tôi; 與你何干 Can gì đến anh?; 不相干 Không dính dáng gì với nhau; ④ Phạm vào: 有干禁例 Phạm vào điều cấm; ⑤ (văn) Bờ sông ngòi: 河干 Bờ sông; ⑦ (văn) Cái: 若干 Bao nhiêu, ngần ấy cái. Xem 幹 [gàn], 乾 [qián].
幰	[hiển] (văn) ① Màn xe; ② Xe tay.
幮	[trù] (văn) Tấm màn có hình như cái tủ.
幬	[trù] ① Màn, rèm (để ngồi thiền định); ② Rèm xe, màn xe.
幫	[bang] Như 帮.
幪	[mông] Trùm. Xem 帡幪 [píngméng].
幨	[xiêm] Màn xe.
幧	[thiêu] ① Khăn vén tóc (của đàn ông thời xưa); ② (đph) Cái mũ.
幣	[tệ] ① Lụa (thời xưa thường làm đồ tặng nhau); ② Của dùng: 上幣 Ngọc; 中幣 Vàng; ③ Tiền: 貨幣 Tiền tệ; 金幣 Tiền vàng; 銅幣 Tiền đồng; 紙幣 Tiền giấy, giấy bạc.
幢	[tràng] ① Một thứ cờ dùng làm nghi vệ; ② Màn xe; ③ (đph) (loại) Toà, ngôi: 一幢樓 Một toà (ngôi) lầu; 一幢房子 Một ngôi nhà.
幡	[phan] Như 旛
幡	[phiên] ① Cờ hiệu (như 旛, bộ 方); ② Đột ngột, thình lình: 幡然改曰 Đột nhiên đổi giọng rằng; 那浪子幡然改途 Chàng lãng tử kia đột ngột thay đổi lối sống.
幞	[phác, phốc] ① Khăn quấn (chít, bịt) đầu; ② Như 袱 [fú] (bộ 衣).
幛	[trướng] Bức trướng, câu đối: 喜幛 Bức trướng mừng, câu đối mừng; 綢幛 Bức trướng lụa.
幙	[mạc] Như 幕.
幘	[trách] (cũ) Khăn vén tóc, khăn đội đầu.
幗	[quắc] Khăn trùm đầu của phụ nữ (thời xưa): 巾幗英雄 Nữ anh hùng.
幕	[mạc] ① Màn, bạt: 帳幕 Lều bạt; 夜幕 Màn đêm; ② Màn (sân khấu): 開幕 Mở màn; 閉幕 Hạ màn; 銀幕 Màn bạc; ③ Màn (kịch): 第二幕第一場 Cảnh một màn hai; ④ (văn) Như 漠 (bộ 氵); ⑤ (văn) Phủ, che trùm.
幔	[mạn] Màn (che).
幌	[hoảng] ① Màn che; ② (cũ) Cờ bài rượu, tấm biển quán rượu.【幌子】hoảng tử [huăngzi] a. Tấm biển bán hàng (treo trước cửa hiệu); b. Lốt, chiêu bài, nhãn hiệu (dùng với ý xấu): 打着革命的幌子 Núp dưới chiêu bài cách mạng.
幈	[bình] Như 屏 [píng].
幅	[bức] ① Khổ (vải vóc): 單幅 Khổ đơn; 雙幅 Khổ kép; 寬幅 Khổ rộng; ② Mức độ, diện tích, đất đai. 【幅員】bức viên [fuýuán] Diện tích, lãnh thổ: 幅員廣大 Đất đai rộng lớn; ③ (loại) Bức: 幾幅？ Mấy bức?; 一幅畫 Một bức tranh; 一幅壽幛 Một bức trướng mừng thọ; ④ Vải quấn đùi, xà cạp.
幄	[ác] (văn) Màn (đủ cả trên dưới bốn mặt), màn dũng, nhà bạt: 帷幄 Nhà bạt, màn trướng (trong quân đội).
幃	[vi] ① Như 帷 [wéi]: 房幃 Chỗ kín trong phòng the; ② Túi thơm.
幂	[mịch] Như 冪
幂	[mịch] Như 冪 (bộ 冖).
幀	[tránh] (loại) Bức (tranh): 一幀圖畫 Một bức tranh.
帽	[mạo] ① Mũ, nón: 呢帽 Mũ dạ, mũ phớt; 草帽 Mũ cói, mũ lác; ② Nắp, đai: 筆帽 Nắp bút; 螺絲 Đai ốc.
帼	[quắc] Như 幗
帻	[trách] Như 幘
常	[thường] ① Luôn, hay, thường, vốn: 常來 Đến luôn, thường đến; 不常說 Không hay nói; 他工作積極，常受表揚 Anh ấy làm việc tích cực, thường được biểu dương; 千里馬常有，而伯樂不常有 Ngựa thiên lí thường có, nhưng Bá Nhạc không thường có (Hàn Dũ: Tạp thuyết); 故官無常貴，而民無終賤 Cho nên quan không luôn quý, mà dân không mãi hèn (Mặc tử: Thượng hiền thượng); 聖人常慎其微也 Thánh nhân vốn thận trọng về chỗ nhỏ nhặt của bản thân mình (Tiềm phu luận: Thận vi). 【常常】 thường thường [chángcháng] Thường, thường hay, luôn luôn: 老阮工作有成績，常常受到表揚 Ông Nguyễn làm việc có thành tích, thường hay được khen thưởng; 是疾也，江南之人常常有之 Bệnh này, người ở Giang Nam thường hay mắc phải (Hàn Dũ: Tế Thập Nhị lang văn); ② (văn) Từng, đã từng (dùng như 嘗， bộ 口): 而勒之曰：主父常游于此 Và khắc vào đó rằng: Chủ Phụ từng đi chơi qua chỗ này (Hàn Phi tử: Ngoại trữ thuyết tả thượng); 高祖常繇咸陽 Vua Cao tổ từng đi lao dịch ở Hàm Dương (Hán thư: Cao đế kỉ); ③ Thông thường, bình thường: 日常 Ngày thường; 常事 Việc thường; ④ Đạo thường: 五常 Năm đạo thường (gồm nhân, nghĩa, lễ, trí, tín); ⑤ Mãi mãi, lâu dài: 常綠樹 Cây xanh tốt quanh năm.
帷	[duy] Màn che, trướng.
師	[sư] ① Thầy dạy, thầy giáo: 師生 Thầy giáo và học sinh, thầy trò; 尊師愛徒 Trọng thầy mến trò; ② (Ngr) Gương mẫu: 師表 Làm gương, tấm gương; ③ Sư, thợ, nhà (chỉ chung những người có nghề chuyên môn): 畫師 Thợ vẽ; 工程師 Kĩ sư, công trình sư; 理發師 Thợ cắt tóc; 設計師 Nhà thiết kế; ④ Học, bắt chước, noi theo: 互相師法 Bắt chước lẫn nhau; ⑤ Về quân sự: 誓師 Tuyên thề; 出師 Xuất quân; ⑥ Sư đoàn: 師政委 Chính uỷ sư đoàn; 坦克師 Sư đoàn xe tăng; ⑦ [Shi] (Họ) Sư.
帩	[tiếu] ① Khăn buộc tóc (của đàn ông thời xưa). Cg. 帩頭; ② Buộc, cột.
帨	[thuế] (văn) Khăn tay: 無感我帨兮 Chớ chạm vào khăn tay của ta (Thi Kinh).
帧	[tránh] Như 幀
帥	[soái, suý] ① Quan võ cấp cao, tướng soái (suý), tướng chỉ huy, chủ tướng: 統帥 Thống soái; 元帥 Nguyên soái, nguyên súy; ② Người hay vật chủ đạo (đứng đầu): 夫志，氣之帥也 Chí hướng là cái chủ đạo của tinh thần con người (Mạnh tử); ③ Quan đứng đầu một địa phương: 三鄉爲縣，縣有縣帥 Ba làng làm thành một huyện, huyện có người đứng đầu huyện (Quốc ngữ); ④ Thống suất, chỉ huy: 帥師 Chỉ huy quân lính; ⑤ (văn) Làm gương: 堯舜帥天下以仁 Vua Nghiêu vua Thuấn lấy điều nhân làm gương cho thiên hạ; ⑥ Đẹp: 這字寫得眞帥 Chữ này viết đẹp quá; ⑦ [Shuài] (Họ) Soái, Súy.
帢	[kháp] Một thứ mũ đội thường ngày (thời xưa) (tương truyền là thứ mũ riêng của vua Nguỵ Vũ đế chế ra).
帡	[bình] Như 帡.
帡	[bình] ① Màn (che ở trên). 【帡幪】bình mông [píngméng] Màn dũng (màn che trên và xung quanh); ② (văn) Che chở: 幸列帡幪 May được vào hàng che chở. Cv. 帡.
帝	[đế] ① Trời, đế: 上帝 Trời, chúa trời, thượng đế; ② Vua, hoàng đế: 帝王 Đế vương, vua chúa; ③ Đế quốc, chủ nghĩa đế quốc (nói tắt): 反帝 Chống đế quốc.
帛	[bạch] Lụa: 帛畫 Tranh lụa.
帚	[trửu] Chổi: 竹帚 Chổi tre.
帘	[liêm] Như 簾
帘	[liêm] Như 簾 (bộ 竹).
帖	[thiếp] Bản phỏng dùng để tập viết chữ: 字帖 Bản viết phỏng. Xem 貼 [tie], [tiâ].
帖	[thiếp] ① Mảnh giấy (hoặc lụa) nhỏ có viết chữ: 字帖兒 Mảnh giấy ghi những lời vắn tắt; ② Thiếp (mời), giấy (mời): 請帖 Giấy mời, thiếp mời; 憑帖入場 Xin mang theo giấy mời; ③ Thang: 一葯 Một thang thuốc; ④ Đoạn văn trích để làm bài thi (thời xưa): 試帖 Văn thơ dùng trong việc thi cử. Xem 帖 [tie], [tiè].
帖	[thiếp] ① Thoả đáng: 妥帖 Ổn thoả; ② Ngoan ngoãn, nghe theo: 帖伏 Cúi đầu nghe theo, ngoan ngoãn vâng theo; 帖服 Quy phục, thuận phục, thuận theo; 俯首帖耳 Ngoan ngoãn thuận phục, cúi đầu nghe theo; ③ [Tie] (Họ) Thiếp. Xem 帖 [tiâ], [tiè].
帕	[phách, phạ] ① Khăn (trùm đầu): 手帕 Khăn tay, khăn mùi soa; 首帕 Khăn trùm đầu; ② Khăn trải bàn; ③ Bọc.
帔	[bí] Áo choàng vai thời xưa, cái ấp vai.
帓	[mạt] (văn) Khăn bịt đầu.
帑	[thảng] (văn) ① Kho để của, tiền trong kho bạc nhà nước: 公帑 Quĩ công.
帑	[nô] Con, vợ con (dùng như 孥, bộ 子).
帐	[trướng] Như 帳
帏	[vi] Như 幃
师	[sư] Như 師
帆	[phàm] Buồm: 帆檣林立 Cột buồm san sát; 一帆風順 Thuận buồm xuôi gió; 孤帆 Cánh buồm đơn chiếc.
帅	[soái, suý] Như 帥
帄	[đinh] 【補帄】bổ đinh [bưding] ① Vá sửa quần áo; ② Chỗ vá. Cv. 補丁, 補釘, 補靪.
