A	As
Pensionär	Pensionärs|Pensionären|Pensionäre
perfekt	perfekter|perfekte|perfektem|perfekten|perfektes
perforieren	perforierten|perforiert|perforierest|perforiere|perforierst|perforier|perforierend|perforierte|perforieret|perforiertet|perforiertest
Pergament	Pergamente|Pergamentes|Pergamenten|Pergaments
Perihel	Perihelen|Perihele|Perihels
Periode	Perioden
Perle	Perlen
Perlenkette	Perlenketten
Perlhuhn	Perlhühner|Perlhuhns|Perlhuhne|Perlhuhnes|Perlhühnern
Perpendikel	Perpendikels|Perpendikeln
perplex	perplexe|perplexem|perplexer|perplexes|perplexen
Perser	Persers|Persern
Perserteppich	Perserteppichen|Perserteppichs|Perserteppiches|Perserteppiche
persisch	persische|persischem|persisches|persischen|persischer
Personal	Personals|Personale|Personalen
personifizieren	personifiziertet|personifizierten|personifizier|personifizieret|personifiziertest|personifizierest|personifizierte|personifizierst|personifiziere|personifiziert|personifizierend
Perspektive	Perspektiven
persönlich	persönlichem|persönliches|persönliche|persönlicher|persönlichen
Persönlichkeit	Persönlichkeiten
Peruaner	Peruanern|Peruaners
pervers	perversen|perverser|perverse|perverses|perversem
Perücke	Perücken
Pessimist	Pessimisten
pessimistisch	pessimistischen|pessimistischer|pessimistisches|pessimistischem|pessimistische
Pestizid	Pestizides|Pestizide|Pestizids|Pestiziden
Petersilie	Petersilien
Petunie	Petunien
petzen	petzend|petzte|petzten|petzt|petz|petze|petzet|petzest|petztest|petztet|gepetzt
Pfad	Pfade|Pfads|Pfades|Pfaden
Pfadfinder	Pfadfindern|Pfadfinders
Pfahl	Pfahls|Pfähle|Pfählen|Pfahles|Pfahle
Pfand	Pfands|Pfändern|Pfänder|Pfandes|Pfande
Pfandbrief	Pfandbriefes|Pfandbriefe|Pfandbriefs|Pfandbriefen
Pfanne	Pfannen
Pfannkuchen	Pfannkuchens
Pfarrer	Pfarrern|Pfarrers
Pfarrhaus	Pfarrhauses|Pfarrhäuser|Pfarrhäusern|Pfarrhause
Pfau	Pfauen|Pfaue|Pfaus|Pfaues
pfeffern	pfeffer|pfefferst|pfefferte|pfeffert|pfefferet|pfefferest|pfeffrest|pfeffret|pfeffertet|pfeffere|pfeffernd|pfefferten|pfeffre|pfeffertest|gepfeffert
Pfeifen	Pfeifens
pfeifen	pfeift|pfeifend|pfiffst|pfeifest|pfeifst|pfeife|pfifft|pfiffest|pfeif|pfiffen|gepfiffen|pfiffe|pfiff|pfeifet|pfiffet
Pfeil	Pfeils|Pfeilen|Pfeiles|Pfeile
Pfeiler	Pfeilern|Pfeilers
Pfeilspitze	Pfeilspitzen
Pfennigfuchser	Pfennigfuchsern|Pfennigfuchsers
Pferd	Pferdes|Pferden|Pferde|Pferds
Pferdefleisch	Pferdefleische|Pferdefleisches|Pferdefleischs
Pferdegeschirr	Pferdegeschirren|Pferdegeschirrs|Pferdegeschirre|Pferdegeschirres
Pferdeschwanz	Pferdeschwanze|Pferdeschwänzen|Pferdeschwanzes|Pferdeschwänze
Pferdestall	Pferdestalls|Pferdeställen|Pferdestalle|Pferdestalles|Pferdeställe
Pfiff	Pfiffes|Pfiffe|Pfiffen|Pfiffs
Pfifferling	Pfifferlings|Pfifferlingen|Pfifferlinge
Pfingstmontag	Pfingstmontags|Pfingstmontage|Pfingstmontagen|Pfingstmontages
Pfingstrose	Pfingstrosen
Pfirsich	Pfirsichen|Pfirsichs|Pfirsiches|Pfirsiche
Pflanze	Pflanzen
pflanzen	pflanz|pflanzend|pflanztest|pflanzest|pflanzet|pflanzt|pflanzten|pflanze|gepflanzt|pflanztet|pflanzte
Pflanzenart	Pflanzenarten
Pflanzenschutz	Pflanzenschutzes|Pflanzenschutze|Pflanzenschutzen
Pflaster	Pflasters|Pflastern
pflastern	pflastere|pflasterest|pflastre|pflasteret|gepflastert|pflasterst|pflasterten|pflasterte|pflastert|pflastertest|pflastret|pflastertet|pflasternd|pflastrest|pflaster
Pflaume	Pflaumen
Pflaumenbaum	Pflaumenbaumes|Pflaumenbaume|Pflaumenbäume|Pflaumenbäumen|Pflaumenbaums
Pflaumenkuchen	Pflaumenkuchens
Pflegeheim	Pflegeheimen|Pflegeheime|Pflegeheimes|Pflegeheims
pflegeleicht	pflegeleichten|pflegeleichter|pflegeleichte|pflegeleichtem|pflegeleichtes
Pflegemutter	Pflegemüttern|Pflegemütter
pflegen	pfleg|pflegst|pflegte|pfleget|pflegten|gepflegt|pflegest|pflegtet|pflegt|pflegend|pflegtest|pflege
Pfleger	Pflegern|Pflegers
Pflegerin	Pflegerinnen
Pflegevater	Pflegeväter|Pflegevaters|Pflegevätern
pflichtschuldig	pflichtschuldiger|pflichtschuldige|pflichtschuldiges|pflichtschuldigem|pflichtschuldigen
Pflock	Pflockes|Pflocke|Pflocks|Pflöcke|Pflöcken
Pflug	Pflugs|Pfluges|Pflüge|Pflügen|Pfluge
pflücken	pflückte|pflückst|gepflückt|pflück|pflückend|pflücktet|pflückten|pflücket|pflückt|pflücktest|pflückest|pflücke
pflügen	pflügte|pflüg|pflügst|pflügten|pflüge|pflüget|gepflügt|pflügt|pflügend|pflügtet|pflügtest|pflügest
Pforte	Pforten
Pfosten	Pfostens
Pfote	Pfoten
Pfropfen	Pfropfens
pfropfen	pfropften|pfropftet|pfropfest|pfropfet|pfropf|pfropfend|pfropfe|pfropfte|pfropft|pfropftest|gepfropft|pfropfst
Pfründe	Pfründen
Pfuhl	Pfuhls|Pfuhles|Pfuhle|Pfuhlen
Pfund	Pfunds|Pfunden|Pfundes|Pfunde
pfuschen	pfuschte|pfuschet|pfuschend|pfuschtet|pfusch|pfuschst|pfuschten|pfuschest|pfuschtest|pfuscht|gepfuscht|pfusche
pfänden	pfändest|pfändet|pfändetest|pfände|pfändend|pfändete|gepfändet|pfändetet|pfändeten
Pförtner	Pförtners|Pförtnern
Pfütze	Pfützen
Phantasie	Phantasien
phantastisch	phantastische|phantastisches|phantastischem|phantastischen|phantastischer
Phantom	Phantoms|Phantomen|Phantome
Phantombild	Phantombildern|Phantombildes|Phantombilds|Phantombilder|Phantombilde
Pharmaindustrie	Pharmaindustrien
Phase	Phasen
Philanthrop	Philanthropen
Philippiner	Philippiners|Philippinern
Philologe	Philologen
philologisch	philologischen|philologische|philologischer|philologisches|philologischem
Philosoph	Philosophen
Philosophie	Philosophien
philosophieren	philosophiere|philosophiertest|philosophiertet|philosophierest|philosophieret|philosophierten|philosophier|philosophierst|philosophierend|philosophierte|philosophiert
phlegmatisch	phlegmatischem|phlegmatisches|phlegmatischen|phlegmatische|phlegmatischer
Phonem	Phonemen|Phoneme|Phonems
Phosphat	Phosphates|Phosphaten|Phosphate|Phosphats
Phosphoreszenz	Phosphoreszenzen
Phrase	Phrasen
Physiker	Physikern|Physikers
Phänomen	Phänomens|Phänomenen|Phänomene
phänomenal	phänomenale|phänomenaler|phänomenalen|phänomenalem|phänomenales
Pianist	Pianisten
Piano	Pianos
pickelig	pickeliges|pickelige|pickeliger|pickeligem|pickeligen
Picken	Pickens
picken	picktest|gepickt|pickt|pickest|picktet|pickte|picke|pickst|picket|pickten|pickend|pick
picklig	pickliges|pickliger|pickligen|pickligem|picklige
Piedestal	Piedestales|Piedestalen|Piedestals|Piedestale
piepsen	piepset|pieps|piepsest|piepstet|gepiepst|piepse|piepsten|piepste|piepst|piepstest|piepsend
pietätlos	pietätloser|pietätloses|pietätlose|pietätlosem|pietätlosen
Pigment	Pigmente|Pigmenten|Pigments|Pigmentes
pikant	pikanter|pikantem|pikanten|pikantes|pikante
Pike	Piken
Piktogramm	Piktogrammen|Piktogramms|Piktogramme
Pilger	Pilgers|Pilgern
Pilgerfahrt	Pilgerfahrten
Pille	Pillen
Pilot	Piloten
Pilotprojekt	Pilotprojekts|Pilotprojekte|Pilotprojekten
Pilz	Pilzes|Pilze|Pilzen
Pinguin	Pinguinen|Pinguins|Pinguine
Pinie	Pinien
pinkeln	pinkeltest|pinkelte|pinkelst|pinkelten|pinkel|pinkelnd|pinkelest|pinkeltet|pinklest|gepinkelt|pinkele|pinkelt|pinkelet|pinkle|pinklet
Pinscher	Pinschers|Pinschern
Pinsel	Pinsels|Pinseln
Pinselstrich	Pinselstriche|Pinselstrichs|Pinselstrichen
Pinzette	Pinzetten
Pionier	Pionieren|Pioniers|Pioniere
Pipette	Pipetten
pipettieren	pipettiere|pipettiert|pipettierten|pipettieret|pipettiertet|pipettierest|pipettier|pipettierend|pipettiertest|pipettierst|pipettierte
Pirat	Piraten
Piraterie	Piraterien
Pirol	Pirole|Pirolen|Pirols
Pirsch	Pirschen
pissen	pissest|pissten|pisstest|pisst|gepisst|piss|pisste|pisstet|pissend|pisse|pisset
Pistazie	Pistazien
Pistole	Pistolen
Pizza	Pizzas|Pizzen
Plackerei	Plackereien
Plage	Plagen
plagen	plagt|plagten|plagtest|geplagt|plage|plaget|plagtet|plagend|plagest|plagte|plagst|plag
Plagiat	Plagiaten|Plagiates|Plagiats|Plagiate
plagiieren	plagiierend|plagiierest|plagiiertest|plagiieret|plagiierten|plagiiert|plagiierst|plagiierte|plagiiertet|plagiier|plagiiere
Plakat	Plakates|Plakaten|Plakats|Plakate
Plakette	Plaketten
plan	planem|plane|planen|planer|planes
planen	plan|geplant|planet|planten|planest|plane|plantest|plante|planend|plant|planst|plantet
Planet	Planeten
Planetarium	Planetariums|Planetarien
Planierraupe	Planierraupen
planmäßig	planmäßigen|planmäßiger|planmäßige|planmäßiges|planmäßigem
planschen	planschst|plansche|plansch|planscht|planschest|planschtet|planschet|planschten|geplanscht|planschtest|planschte|planschend
plappern	plappertest|plapperten|plappert|plapper|plappret|plapperte|plapperst|plapperet|plapprest|geplappert|plappernd|plappre|plappertet|plapperest|plappere
Plasma	Plasmas|Plasmen
Plastefolie	Plastefolien
Plastik	Plastiken|Plastiks
Plastiktüte	Plastiktüten
plastisch	plastischer|plastische|plastischen|plastisches|plastischem
Platane	Platanen
Platin	Platins
Platschen	Platschens
platschen	platschst|platscht|platschend|platschtest|platsche|platsch|platschest|platschte|platschtet|geplatscht|platschten|platschet
platt	plattes|platte|platten|plattem|platter
Platte	Platten
Plattenspieler	Plattenspielers|Plattenspielern
Plattfuß	Plattfüßen|Plattfußes|Plattfuße|Plattfüße
Platzangst	Platzängste|Platzängsten
platzen	platzest|platztest|platzend|platzet|platze|platzt|platzte|platz|platzten|geplatzt|platztet
Platzhalter	Platzhaltern|Platzhalters
Platzregen	Platzregens
Plauderei	Plaudereien
plaudern	plaudertest|plaudere|plauderten|plaudertet|plaudrest|plauder|plaudernd|plauderte|geplaudert|plauderst|plaudret|plaudre|plauderet|plaudert|plauderest
Plauderton	Plaudertons|Plaudertone|Plaudertones
plauschen	plauschte|plauschtet|plauschst|plauschend|plausche|plauschest|plauscht|plauschten|plauschtest|plauschet|geplauscht|plausch
plazieren	plazierst|plazierest|plazieret|plaziertest|plazierend|plazier|plazierte|plazierten|plaziere|plaziert|plaziertet
Plebiszit	Plebiszite|Plebisziten|Plebiszits
Pleite	Pleiten
Plissee	Plissees
plump	plumper|plumpes|plumpe|plumpem|plumpen
Plumps	Plumpsen|Plumpse|Plumpses
plumpsen	plumpse|plumpstet|plumpste|plumpstest|plumpsend|geplumpst|plumpst|plumps|plumpsten|plumpsest|plumpset
Plunder	Plunders|Plundern
Plusquamperfekt	Plusquamperfekte|Plusquamperfekts|Plusquamperfekten
Pluszeichen	Pluszeichens
plädieren	plädier|plädiert|plädieret|plädiere|plädierend|plädierte|plädierest|plädiertest|plädiertet|plädierten|plädierst
plätten	plättet|plättend|plättest|plätteten|plätte|plättetet|geplättet|plättete|plättetest
Plätzchen	Plätzchens
Plünderer	Plünderers|Plünderern
plündern	plünderest|plünder|plündert|plündertet|plünderte|plünderst|plündrest|plünderet|plünderten|plündertest|plündre|plündernd|plündret|geplündert|plündere
Plüsch	Plüschs|Plüsche|Plüschen|Plüsches
Plüschtier	Plüschtiere|Plüschtieren|Plüschtieres|Plüschtiers
pochieren	pochiertet|pochierest|pochiere|pochier|pochierst|pochierten|pochierte|pochieret|pochiert|pochierend|pochiertest
Pocke	Pocken
Podest	Podeste|Podesten|Podests|Podestes
Podium	Podien|Podiums
Poesie	Poesien
Poet	Poeten
Pokal	Pokalen|Pokals|Pokale
Polarisation	Polarisationen
polarisieren	polarisiere|polarisierten|polarisierte|polarisiertet|polarisiertest|polarisieret|polarisiert|polarisierst|polarisierest|polarisier|polarisierend
Polarlicht	Polarlichtes|Polarlichter|Polarlichts|Polarlichtern|Polarlichte
polemisch	polemischer|polemischen|polemischem|polemisches|polemische
polieren	poliertest|poliertet|poliere|polier|polierte|polierst|polierend|poliert|polierest|polierten|polieret
Poliklinik	Polikliniken
Politesse	Politessen
Politik	Politiken
Politiker	Politikern|Politikers
politisch	politischem|politischer|politische|politisches|politischen
Politur	Polituren
Polizei	Polizeien
Polizeifunk	Polizeifunks
Polizeiwache	Polizeiwachen
Polizist	Polizisten
Polizistin	Polizistinnen
pollen	pollest|pollten|pollt|pollend|pollet|polltest|poll|gepollt|polle|pollte|polltet|pollst
Polster	Polstern|Pölstern|Polsters|Pölster
poltern	poltere|polter|poltret|poltert|poltre|polteret|polterest|poltertet|polterte|polterten|polternd|polterst|gepoltert|poltrest|poltertest
Polyeder	Polyedern|Polyeders
Polygon	Polygons|Polygone|Polygonen
Polymer	Polymere|Polymeren|Polymers
Pomade	Pomaden
Pomp	Pomps
Pony	Ponys
Popo	Popos
popularisieren	popularisiere|popularisierten|popularisiertet|popularisieret|popularisierend|popularisier|popularisierte|popularisierest|popularisiert|popularisierst|popularisiertest
Popularität	Popularitäten
populär	populärem|populärer|populäre|populäres|populären
pornographisch	pornographischer|pornographische|pornographisches|pornographischen|pornographischem
Porree	Porrees
Port	Portes|Ports|Porten|Porte
Portal	Portales|Portals|Portale|Portalen
Portier	Portieren|Portiers|Portiere
Porträt	Porträtes|Porträte|Porträts
Porzellan	Porzellanen|Porzellane|Porzellans
porös	poröser|porösen|poröses|poröse|porösem
Posaune	Posaunen
Posaunenchor	Posaunenchore|Posaunenchören|Posaunenchöre|Posaunenchores|Posaunenchors
posieren	posieret|posierst|posier|posierend|posiert|posierte|posierten|posiertest|posierest|posiertet|posiere
Position	Positionen
Positiv	Positive|Positiven|Positivs
positiv	positives|positiver|positive|positivem|positiven
positivistisch	positivistisches|positivistischen|positivistischer|positivistische|positivistischem
Posse	Possen
Possen	Possens
Post	Posts|Poste|Postes
Postamt	Postamtes|Postamts|Postamte|Postämtern|Postämter
Poster	Postern|Posters
Postfach	Postfächern|Postfächer|Postfache|Postfaches|Postfachs
Postkarte	Postkarten
Postleitzahl	Postleitzahlen
potent	potentem|potenter|potenten|potentes|potente
Potential	Potentiale|Potentials|Potentialen
Potentiometer	Potentiometern|Potentiometers
potenzieren	potenzierte|potenzieret|potenziertet|potenzierten|potenzierst|potenziert|potenziertest|potenzierest|potenzier|potenziere|potenzierend
prachtvoll	prachtvollem|prachtvolles|prachtvoller|prachtvollen|prachtvolle
pragmatisch	pragmatischer|pragmatischem|pragmatische|pragmatisches|pragmatischen
prahlen	prahltet|prahlet|prahlten|prahlte|prahlend|prahlest|prahltest|prahl|prahle|prahlt|prahlst|geprahlt
Prahlerei	Prahlereien
praktikabel	praktikable|praktikablem|praktikablen|praktikabler|praktikables
Praktikant	Praktikanten
praktisch	praktischen|praktischem|praktische|praktischer|praktisches
prall	prallen|prallem|pralle|praller|pralles
prallen	prallest|prallet|prall|pralltet|prallte|prallend|prallt|pralle|prallten|pralltest|prallst|geprallt
prangen	prangst|prangest|prangten|prangte|prangtest|prangend|geprangt|prange|pranget|prangtet|prangt|prang
Pranger	Prangers|Prangern
predigen	prediget|predigst|predigte|predigtest|predige|predigest|predigten|gepredigt|predigtet|predig|predigt|predigend
Prediger	Predigern|Predigers
Predigt	Predigten
Preis	Preise|Preisen|Preises
Preiselbeere	Preiselbeeren
Preisen	Preisens
preisen	priesest|priest|pries|preiset|priesen|gepriesen|preise|prieset|preisest|preis|priese|preist|preisend
preisgeben	preiszugeben|preisgegeben|preisgebend
preisgünstig	preisgünstigem|preisgünstige|preisgünstiges|preisgünstiger|preisgünstigen
preiswert	preiswertem|preiswerter|preiswertes|preiswerten|preiswerte
prekär	prekäres|prekäre|prekären|prekärem|prekärer
prellen	prellten|prellend|prell|prellt|prellet|prellest|prellte|prelltest|prelltet|prelle|geprellt|prellst
Premiere	Premieren
Premierminister	Premierministers|Premierministern
Pressekonferenz	Pressekonferenzen
pressen	presstet|pressend|presstest|presset|press|presste|gepresst|pressten|pressest|presst|presse
Presseschau	Presseschauen
Preuße	Preußen
prickeln	prickelten|prickele|prickelst|pricklest|prickel|prickelet|pricklet|prickelte|prickelt|prickeltest|prickelest|geprickelt|prickeltet|prickelnd|prickle
Priester	Priestern|Priesters
Priesterschaft	Priesterschaften
Primas	Primaten|Primasse|Primassen
Primel	Primeln
primitiv	primitive|primitiver|primitives|primitiven|primitivem
Primzahl	Primzahlen
Prinz	Prinzen
Prinzessin	Prinzessinnen
Prinzip	Prinzipien|Prinzips
prinzipiell	prinzipielle|prinzipieller|prinzipielles|prinzipiellem|prinzipiellen
Priorität	Prioritäten
Prise	Prisen
Prisma	Prismen|Prismas
Pritsche	Pritschen
privat	privater|privaten|privates|privatem|private
Privatangelegenheit	Privatangelegenheiten
Privatbesitz	Privatbesitze|Privatbesitzes
Privatleben	Privatlebens
privilegieren	privilegieret|privilegierten|privilegiertest|privilegierte|privilegierst|privilegierend|privilegiert|privilegiere|privilegier|privilegiertet|privilegierest
Probe	Proben
Probefahrt	Probefahrten
proben	geprobt|probtest|probe|probet|probtet|probst|probt|probte|probten|probest|prob|probend
probieren	probier|probierst|probierte|probiertet|probiert|probiertest|probierend|probieret|probierest|probiere|probierten
problematisch	problematisches|problematischen|problematischer|problematischem|problematische
Produkt	Produkts|Produktes|Produkten|Produkte
produktiv	produktivem|produktiver|produktive|produktives|produktiven
produzieren	produziert|produzierest|produzierten|produzier|produzierst|produziere|produziertest|produzieret|produzierend|produzierte|produziertet
professionell	professionellen|professionelle|professionellem|professionelles|professioneller
Professor	Professoren|Professors
Professorin	Professorinnen
Professur	Professuren
Profil	Profils|Profile|Profilen|Profiles
Profit	Profiten|Profites|Profite|Profits
profitieren	profitiertest|profitier|profitiert|profitierend|profitierst|profitieret|profitiertet|profitierest|profitiere|profitierten|profitierte
Prognose	Prognosen
prognostizieren	prognostizieret|prognostizier|prognostizierten|prognostiziertest|prognostizierest|prognostizierend|prognostiziertet|prognostizierst|prognostizierte|prognostiziere|prognostiziert
programmierbar	programmierbaren|programmierbares|programmierbarem|programmierbarer|programmierbare
programmieren	programmierst|programmiertest|programmierten|programmierend|programmiertet|programmiere|programmiert|programmieret|programmier|programmierest|programmierte
Programmierer	Programmierers|Programmierern
Projekt	Projekten|Projektes|Projekts|Projekte
projektieren	projektiertet|projektierten|projektier|projektiertest|projektierst|projektiert|projektierest|projektierte|projektiere|projektierend|projektieret
Projektion	Projektionen
proletarisch	proletarischem|proletarischen|proletarische|proletarischer|proletarisches
Promenade	Promenaden
promenieren	promenierten|promeniere|promenier|promenierest|promeniert|promenieret|promeniertet|promeniertest|promenierte|promenierst|promenierend
prominent	prominenter|prominentem|prominente|prominentes|prominenten
promovieren	promovierten|promovierest|promovierend|promoviert|promovieret|promoviertet|promoviertest|promovierte|promovierst|promovier|promoviere
propagandistisch	propagandistischem|propagandistischer|propagandistischen|propagandistisches|propagandistische
Propeller	Propellers|Propellern
Prophet	Propheten
prophezeien	prophezei|prophezeist|prophezeie|prophezeiest|prophezeitet|prophezeiten|prophezeitest|prophezeiet|prophezeit|prophezeiend|prophezeite
Prophezeiung	Prophezeiungen
proportional	proportionales|proportionalen|proportionalem|proportionale|proportionaler
prosaisch	prosaisches|prosaischer|prosaische|prosaischen|prosaischem
Prospekt	Prospektes|Prospekts|Prospekten|Prospekte
protegieren	protegiere|protegierend|protegierst|protegieret|protegierten|protegierte|protegiertest|protegier|protegiert|protegiertet|protegierest
protestieren	protestiert|protestieret|protestiertest|protestier|protestierten|protestierest|protestierst|protestierend|protestiere|protestierte|protestiertet
Prothese	Prothesen
Protokoll	Protokolle|Protokolles|Protokolls|Protokollen
protokollieren	protokolliere|protokollierest|protokolliert|protokollierte|protokollieret|protokolliertest|protokollier|protokollierst|protokollierend|protokollierten|protokolliertet
Protuberanz	Protuberanzen
protzen	protzet|protztest|protzt|protz|protztet|geprotz|protzend|protzte|protze|protzten|protzest
protzig	protzigen|protziger|protziges|protzigem|protzige
Proviant	Provianten|Proviants|Proviante
Provinz	Provinzen
Provokateur	Provokateure|Provokateuren|Provokateurs
provozieren	provoziertest|provoziert|provozierte|provozieret|provozierst|provoziertet|provoziere|provozier|provozierest|provozierten|provozierend
Prozedur	Prozeduren
Prozent	Prozents|Prozentes|Prozenten|Prozente
Prozentsatz	Prozentsatzes|Prozentsätze|Prozentsatzs|Prozentsätzen|Prozentsatze
prozessieren	prozessierten|prozessierst|prozessiertest|prozessiere|prozessierest|prozessieret|prozessierend|prozessiert|prozessier|prozessierte|prozessiertet
Prozession	Prozessionen
Prunk	Prunke|Prunks|Prunkes
prunken	prunket|prunk|prunkend|geprunkt|prunktest|prunkten|prunkt|prunkst|prunke|prunktet|prunkte|prunkest
prunkvoll	prunkvolle|prunkvollen|prunkvoller|prunkvolles|prunkvollem
prächtig	prächtigen|prächtige|prächtiger|prächtigem|prächtiges
prädestinieren	prädestinierend|prädestiniere|prädestinierest|prädestinierst|prädestinierten|prädestinieret|prädestiniertet|prädestiniertest|prädestinierte|prädestiniert|prädestinier
Prädikat	Prädikaten|Prädikate|Prädikats
Präfix	Präfixes|Präfixe|Präfixen
prägen	prägest|prägten|prägtest|prägend|geprägt|prägte|prägtet|präge|präg|prägt|präget|prägst
prägnant	prägnanten|prägnantem|prägnantes|prägnante|prägnanter
Prägung	Prägungen
Prämie	Prämien
Prämisse	Prämissen
Präparat	Präparaten|Präparats|Präparate
Prärie	Prärien
präsent	präsenter|präsente|präsentes|präsenten|präsentem
Präsentation	Präsentationen
präsentieren	präsentiere|präsentierte|präsentiert|präsentierst|präsentieret|präsentier|präsentiertet|präsentiertest|präsentierend|präsentierest|präsentierten
Präsident	Präsidenten
Präsidentenwahl	Präsidentenwahlen
Präsidium	Präsidien|Präsidiums
Präzedenzfall	Präzedenzfalle|Präzedenzfalls|Präzedenzfällen|Präzedenzfälle|Präzedenzfalles
präzise	präziser|präzisen|präzises|präzisem
prüde	prüder|prüden|prüdem|prüdes
Prüfbericht	Prüfberichte|Prüfberichtes|Prüfberichten|Prüfberichts
prüfen	prüften|geprüft|prüfend|prüfe|prüft|prüftet|prüf|prüfest|prüftest|prüfet|prüfte|prüfst
Prüfstein	Prüfsteine|Prüfsteines|Prüfsteins|Prüfsteinen
Prüfung	Prüfungen
Prügel	Prügeln|Prügels
prügeln	prüglest|prügelten|prügele|geprügelt|prügel|prügelt|prügle|prügelst|prügelet|prüglet|prügeltest|prügelest|prügelnd|prügeltet|prügelte
Prügelstrafe	Prügelstrafen
Pseudonym	Pseudonymen|Pseudonyme|Pseudonyms
Psychiater	Psychiatern|Psychiaters
psychoanalytisch	psychoanalytisches|psychoanalytischem|psychoanalytischer|psychoanalytische|psychoanalytischen
Psychologe	Psychologen
Psychopharmakon	Psychopharmaka|Psychopharmakons
Psychose	Psychosen
Publikation	Publikationen
Publikum	Publika|Publikums
Pudel	Pudeln|Pudels
Puder	Puders|Pudern
pudern	puder|pudrest|puderet|pudernd|pudret|puderten|pudertest|pudre|pudert|pudertet|puderst|puderte|pudere|gepudert|puderest
Puff	Püffen|Puffen|Puffs|Püffe|Puffes|Puffe
puffen	puffte|pufften|puff|pufftest|pufftet|puffest|puffst|puffet|gepufft|puffend|pufft|puffe
Puffer	Puffers|Puffern
Puffmais	Puffmaise|Puffmaises
Pulk	Pulks|Pulkes|Pulken|Pulke
Pulli	Pullis
Pullover	Pullovern|Pullovers
Puls	Pulse|Pulsen|Pulses
pulsieren	pulsierte|pulsieret|pulsierend|pulsiere|pulsiertest|pulsierst|pulsierten|pulsierest|pulsier|pulsiertet|pulsiert
Pult	Pulte|Pultes|Pulten|Pults
Pumpe	Pumpen
pumpen	pumpt|gepumpt|pumpet|pumpe|pumpest|pumpte|pumpten|pumptest|pump|pumpst|pumpend|pumptet
Pumpernickel	Pumpernickeln|Pumpernickels
Punkt	Punkte|Punkts|Punkten|Punktes
Pupille	Pupillen
Puppe	Puppen
pur	pure|purer|pures|puren|purem
Purismus	Purismen
puritanisch	puritanischen|puritanischer|puritanisches|puritanische|puritanischem
Purpur	Purpurs|Purpuren|Purpure
Purzelbaum	Purzelbaume|Purzelbäumen|Purzelbaumes|Purzelbaums|Purzelbäume
Pusteblume	Pusteblumen
Pute	Puten
Puter	Putern|Puters
Putsch	Putsche|Putschen|Putsches
Putz	Putzes|Putzen|Putze
Putzen	Putzens
putzen	putzet|geputzt|putzend|putztest|putztet|putzt|putz|putze|putzten|putzest|putzte
Putzfrau	Putzfrauen
Puzzle	Puzzles
Pyramide	Pyramiden
Pächter	Pächters|Pächtern
Päckchen	Päckchens
Pädagoge	Pädagogen
pädagogisch	pädagogischem|pädagogischer|pädagogisches|pädagogischen|pädagogische
päpstlich	päpstlichen|päpstlichem|päpstlicher|päpstliche|päpstliches
Pärchen	Pärchens
Pöbel	Pöbels
pünktlich	pünktlichen|pünktliches|pünktlicher|pünktliche|pünktlichem
Püppchen	Püppchens
Püree	Pürees
Quacksalberei	Quacksalbereien
Quader	Quadern|Quaders
Quadrant	Quadranten
Quadrat	Quadraten|Quadrate|Quadrats|Quadrates
Quadratmeter	Quadratmeters|Quadratmetern
Quadratwurzel	Quadratwurzeln
quaken	quakst|quakten|quakte|quakend|gequakt|quak|quake|quaktest|quaket|quakest|quakt|quaktet
Qual	Qualen
Qualifikation	Qualifikationen
qualifizieren	qualifiziertest|qualifizieret|qualifizierest|qualifiziertet|qualifizierend|qualifizierte|qualifizierten|qualifizier|qualifiziert|qualifiziere|qualifizierst
Qualität	Qualitäten
Qualitätswein	Qualitätsweinen|Qualitätsweine|Qualitätsweines|Qualitätsweins
Qualle	Quallen
Qualm	Qualmes|Qualms|Qualme
qualvoll	qualvoller|qualvolles|qualvollem|qualvollen|qualvolle
quantisieren	quantisierst|quantisierend|quantisierest|quantisier|quantisierten|quantisiertet|quantisierte|quantisiere|quantisiertest|quantisieret|quantisiert
Quantität	Quantitäten
Quark	Quarks|Quarke|Quarkes
Quartett	Quartetten|Quartettes|Quartetts|Quartette
Quarz	Quarzes|Quarze|Quarzen
quasseln	quassle|quassele|quasslest|quassel|quasselt|gequasselt|quasselet|quasselte|quasselst|quasselnd|quasselest|quasseltet|quasslet|quasselten|quasseltest
Quaste	Quasten
Quatsch	Quatschs|Quatsches|Quatsche
quatschen	quatschtest|quatschte|quatschet|quatscht|quatsch|quatschtet|gequatscht|quatschest|quatschst|quatsche|quatschend|quatschten
Quecksilber	Quecksilbers
quellen	quellet|quölle|quill|quollst|quillst|quöllen|quelle|quellt|gequollen|quellest|quoll|quollen|quollt|quöllest|quöllet|quillt|quellend
Quellenangabe	Quellenangaben
Quelltext	Quelltexten|Quelltexts|Quelltexte|Quelltextes
Quellwasser	Quellwassers|Quellwassern
quengelig	quengelige|quengeliger|quengeliges|quengeligen|quengeligem
quengeln	quenglest|quengelte|quengelst|quengelnd|quengele|quengelet|quengeltest|quengelt|quengelten|quengeltet|quengle|quengelest|gequengelt|quenglet|quengel
Querflöte	Querflöten
Querformat	Querformats|Querformaten|Querformate|Querformates
Querkopf	Querkopfes|Querkopfe|Querkopfs|Querköpfen|Querköpfe
Querschläger	Querschlägern|Querschlägers
Querschnitt	Querschnitten|Querschnittes|Querschnitts|Querschnitte
